날짜,Negative,Positive,X_t,nsi,Negative_percent,Positive_percent
2021/03/16,316.0,194.0,-0.2392156862745098,101.573,0.6196078431372549,0.3803921568627451
2021/03/17,300.0,230.0,-0.1320754716981132,110.852,0.5660377358490566,0.4339622641509434
2021/03/18,274.0,209.0,-0.134575569358178,110.59,0.567287784679089,0.432712215320911
2021/03/19,241.0,195.0,-0.1055045871559633,113.049,0.5527522935779816,0.44724770642201833
2021/03/20,199.0,173.0,-0.0698924731182795,116.029,0.5349462365591398,0.4650537634408602
2021/03/21,168.0,172.0,0.0117647058823529,122.819,0.49411764705882355,0.5058823529411764
2021/03/22,151.0,167.0,0.050314465408805,125.739,0.4748427672955975,0.5251572327044025
2021/03/23,218.0,245.0,0.0583153347732181,126.018,0.4708423326133909,0.5291576673866091
2021/03/24,230.0,190.0,-0.0952380952380952,113.057,0.5476190476190477,0.4523809523809524
2021/03/25,274.0,248.0,-0.0498084291187739,116.743,0.524904214559387,0.47509578544061304
2021/03/26,271.0,260.0,-0.0207156308851224,119.004,0.5103578154425612,0.4896421845574388
2021/03/27,300.0,270.0,-0.0526315789473684,116.237,0.5263157894736842,0.47368421052631576
2021/03/28,358.0,335.0,-0.0331890331890331,117.707,0.5165945165945166,0.4834054834054834
2021/03/29,943.0,644.0,-0.1884057971014492,104.887,0.5942028985507246,0.4057971014492754
2021/03/30,1352.0,768.0,-0.2754716981132075,97.696,0.6377358490566037,0.3622641509433962
2021/03/31,1780.0,935.0,-0.3112338858195211,94.748,0.6556169429097606,0.3443830570902394
2021/04/01,2383.0,1194.0,-0.3324014537321778,93.013,0.6662007268660889,0.3337992731339111
2021/04/02,2833.0,1338.0,-0.3584272356748981,90.884,0.679213617837449,0.32078638216255095
2021/04/03,2982.0,1386.0,-0.3653846153846153,90.342,0.6826923076923077,0.3173076923076923
2021/04/04,3102.0,1395.0,-0.3795863909272848,89.206,0.6897931954636425,0.31020680453635757
2021/04/05,2688.0,1159.0,-0.3974525604367039,87.78,0.6987262802183519,0.301273719781648
2021/04/06,2296.0,964.0,-0.4085889570552147,86.922,0.7042944785276074,0.29570552147239265
2021/04/07,2055.0,882.0,-0.3993871297242083,87.74,0.6996935648621042,0.3003064351378958
2021/04/08,1803.0,720.0,-0.4292508917954816,85.354,0.7146254458977408,0.2853745541022592
2021/04/09,1442.0,597.0,-0.4144188327611574,86.647,0.7072094163805788,0.2927905836194213
2021/04/10,1313.0,547.0,-0.4118279569892473,86.925,0.7059139784946237,0.2940860215053763
2021/04/11,1147.0,462.0,-0.4257302672467371,85.857,0.7128651336233686,0.28713486637663144
2021/04/12,1016.0,394.0,-0.4411347517730496,84.684,0.7205673758865249,0.2794326241134752
2021/04/13,970.0,390.0,-0.4264705882352941,85.961,0.7132352941176471,0.2867647058823529
2021/04/14,787.0,305.0,-0.4413919413919414,84.83,0.7206959706959707,0.2793040293040293
2021/04/15,583.0,298.0,-0.3234960272417707,94.468,0.6617480136208853,0.33825198637911463
2021/04/16,624.0,361.0,-0.267005076142132,99.087,0.6335025380710659,0.366497461928934
2021/04/17,696.0,408.0,-0.2608695652173913,99.59,0.6304347826086957,0.3695652173913043
2021/04/18,685.0,425.0,-0.2342342342342342,101.772,0.6171171171171171,0.38288288288288286
2021/04/19,664.0,431.0,-0.2127853881278538,103.527,0.6063926940639269,0.39360730593607307
2021/04/20,748.0,482.0,-0.216260162601626,103.235,0.608130081300813,0.39186991869918697
2021/04/21,799.0,490.0,-0.2397207137315748,101.299,0.6198603568657874,0.38013964313421256
2021/04/22,617.0,370.0,-0.2502532928064843,100.429,0.6251266464032421,0.37487335359675783
2021/04/23,537.0,278.0,-0.3177914110429448,94.854,0.6588957055214724,0.3411042944785276
2021/04/24,449.0,242.0,-0.2995658465991317,96.37,0.6497829232995659,0.35021707670043417
2021/04/25,431.0,223.0,-0.3180428134556575,94.849,0.6590214067278287,0.3409785932721712
2021/04/26,418.0,200.0,-0.3527508090614886,91.989,0.6763754045307443,0.32362459546925565
2021/04/27,347.0,146.0,-0.4077079107505071,87.478,0.7038539553752535,0.2961460446247465
2021/04/28,366.0,189.0,-0.3189189189189189,94.86,0.6594594594594595,0.34054054054054056
2021/04/29,385.0,183.0,-0.3556338028169014,91.831,0.6778169014084507,0.3221830985915493
2021/04/30,335.0,175.0,-0.3137254901960784,95.326,0.6568627450980392,0.3431372549019608
2021/05/02,337.0,186.0,-0.2887189292543021,97.413,0.6443594646271511,0.35564053537284895
2021/05/03,350.0,191.0,-0.2939001848428835,96.986,0.6469500924214417,0.35304990757855825
2021/05/04,362.0,203.0,-0.2814159292035398,98.032,0.6407079646017699,0.35929203539823007
2021/05/05,332.0,190.0,-0.2720306513409962,98.82,0.6360153256704981,0.36398467432950193
2021/05/06,369.0,202.0,-0.2924693520140105,97.112,0.6462346760070052,0.35376532399299476
2021/05/07,386.0,198.0,-0.3219178082191781,94.652,0.660958904109589,0.339041095890411
2021/05/08,410.0,215.0,-0.312,95.494,0.656,0.344
2021/05/09,422.0,203.0,-0.3504,92.283,0.6752,0.3248
2021/05/10,529.0,305.0,-0.2685851318944844,99.173,0.6342925659472423,0.3657074340527578
2021/05/11,562.0,322.0,-0.2714932126696832,98.93,0.6357466063348416,0.36425339366515835
2021/05/12,621.0,375.0,-0.2469879518072289,100.998,0.6234939759036144,0.37650602409638556
2021/05/13,543.0,330.0,-0.2439862542955326,101.25,0.6219931271477663,0.37800687285223367
2021/05/14,536.0,358.0,-0.1991051454138702,105.043,0.5995525727069351,0.4004474272930649
2021/05/15,509.0,346.0,-0.1906432748538011,105.749,0.5953216374269006,0.4046783625730994
2021/05/16,468.0,332.0,-0.17,107.484,0.585,0.415
2021/05/17,379.0,243.0,-0.2186495176848874,103.342,0.6093247588424437,0.39067524115755625
2021/05/18,321.0,222.0,-0.1823204419889502,106.42,0.5911602209944752,0.4088397790055249
2021/05/19,252.0,159.0,-0.2262773722627737,102.671,0.6131386861313869,0.38686131386861317
2021/05/20,244.0,154.0,-0.2261306532663316,102.679,0.6130653266331658,0.3869346733668342
2021/05/21,217.0,116.0,-0.3033033033033033,96.091,0.6516516516516516,0.3483483483483483
2021/05/22,220.0,113.0,-0.3213213213213213,94.561,0.6606606606606606,0.33933933933933935
